ID,NAME,ADDRESS,CITY,STATE,Type of school,ZIP,TELEPHONE,COUNTY,COUNTYFIPS,COUNTRY,WEBSITE,ALIAS,TOTAL_ENROLLMENT
104,ANN WEBB SKIN INSTITUTE,11701 JOLLYVILLE ROAD,AUSTIN,TX,COSMETOLOGY AND BARBER SCHOOLS,78759,(512) 614-4012,TRAVIS,48453,USA,awskininstitute.com,NOT AVAILABLE,84
105,THE ESTHETIC INSTITUTE,8381 OLD COURTHOUSE ROAD STE 320,VIENNA,VA,COSMETOLOGY AND BARBER SCHOOLS,22182,(703) 288-4228 EXT 107,FAIRFAX,51059,USA,estheticinstitute.com/,NOT AVAILABLE,147
106,DIGITAL MEDIA INSTITUTE AT INTERTECH,2031 KINGS HIGHWAY,SHREVEPORT,LA,JUNIOR COLLEGES,71103,(318) 213-0788,CADDO,22017,USA,www.dmi-intertech.org,NOT AVAILABLE,14
107,ALLGOOD BEAUTY INSTITUTE,9741 PRESTON ROAD SUITE 106,FRISCO,TX,COSMETOLOGY AND BARBER SCHOOLS,75033,(469) 252-1747,COLLIN,48085,USA,allgoodbeauty.com,ABI,5
108,RAY J'S COLLEGE OF HAIR,1726 WOODDALE COURT,BATON ROUGE,LA,COSMETOLOGY AND BARBER SCHOOLS,70806,(225) 928-6890,EAST BATON ROUGE,22033,USA,www.ray-jscollegeofhair.com,NOT AVAILABLE,16
109,GWINNETT INSTITUTE,1900 NORTH ALAFAYA TRAIL,ORLANDO,FL,JUNIOR COLLEGES,32826,(407) 434-8700,ORANGE,12095,USA,www.gwinnettcollege.edu/,GWINNETT INSTITUTE,314
110,DAVENPORT UNIVERSITY - WAYNE CCCD,MARY ELLEN STEMPFLE UNIV. CAMPUS,BELLEVILLE,MI,JUNIOR COLLEGES,48111,NOT AVAILABLE,WAYNE,26163,USA,NOT AVAILABLE,NOT AVAILABLE,-999
111,KANSAS CITY UNIVERSITY OF MEDICINE AND BIOSCIENCES-JOPLIN,2901 ST. JOHN'S BOULEVARD,JOPLIN,MO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",64804,(417) 208-0630,JASPER,29097,USA,www.kcumb.edu,KCU-JOPLIN,162
112,AESTHETICS INSTITUTE OF COSMETOLOGY - WINCHESTER,808 BERRYVILLE AVENUE,WINCHESTER,VA,COSMETOLOGY AND BARBER SCHOOLS,22601,NOT AVAILABLE,WINCHESTER,51840,USA,NOT AVAILABLE,NOT AVAILABLE,-999
113,MANUEL AND THERESA'S SCHOOL OF HAIR DESIGN,1315 HIGHWAY 105 #102,BRENHAM,TX,COSMETOLOGY AND BARBER SCHOOLS,77833,(979) 277-0078,WASHINGTON,48477,USA,www.manuelandtheresasschoolofhair.com/,NOT AVAILABLE,15
114,MAYNARD A. TRAVISS CAREER CENTER - CENTRAL FLORIDA AEROSPACE ACADEMY,4141 MEDULLA ROAD,LAKELAND,FL,JUNIOR COLLEGES,33811,NOT AVAILABLE,POLK,12105,USA,NOT AVAILABLE,NOT AVAILABLE,-999
115,CINCINNATI SCHOOL OF BARBERING & HAIR DESIGN INC,6500 COLERAIN AVENUE,CINCINNATI,OH,COSMETOLOGY AND BARBER SCHOOLS,45239,(513) 923-3385,HAMILTON,39061,USA,cincinnatischoolofbarbering.net/,NOT AVAILABLE,45
116,YORK COUNTY COMMUNITY COLLEGE - SANFORD INSTRUCTIONAL FACILITY,60 COMMUNITY DRIVE,SANFORD,ME,JUNIOR COLLEGES,4073,NOT AVAILABLE,YORK,23031,USA,NOT AVAILABLE,NOT AVAILABLE,-999
117,L MAKEUP INSTITUTE,440 S. RAMPART BLVD. B-130,LAS VEGAS,NV,COSMETOLOGY AND BARBER SCHOOLS,89145,(702) 685-9298,CLARK,32003,USA,lmakeupinstitute.com/,NOT AVAILABLE,55
118,PELOTON COLLEGE,1200 EAST COPELAND ROAD,ARLINGTON,TX,JUNIOR COLLEGES,76011,(214) 777-6433,TARRANT,48439,USA,pelotoncollege.edu/,NOT AVAILABLE,65
119,CECIL COLLEGE - ELKTON STATION,107 RAILROAD AVENUE,ELKTON,MD,JUNIOR COLLEGES,21921,NOT AVAILABLE,CECIL,24015,USA,NOT AVAILABLE,NOT AVAILABLE,-999
120,PURDUE UNIVERSITY NORTHWEST,2200 169TH STREET,HAMMOND,IN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",46323,(219) 989-2400,LAKE,18089,USA,www.pnw.edu,PURDUE NORTHWEST,12071
121,ITT TECHNICAL INSTITUTE-LEXINGTON,3020 OLD TODDS ROAD,LEXINGTON,KY,JUNIOR COLLEGES,40509,NOT AVAILABLE,FAYETTE,21067,USA,NOT AVAILABLE,NOT AVAILABLE,-999
122,MECHON L'HOYROA,168 MAPLE AVENUE,MONSEY,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",10952,(845) 425-9565,ROCKLAND,36087,USA,www.mechonlhoyroa.com,NOT AVAILABLE,40
123,YESHIVA OHR NAFTOLI,701 BLOOMING GROVE TURNPIKE,NEW WINDSOR,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",12553,(845) 784-4020,ORANGE,36071,USA,www.yeshivaohrnaftoli.com,NOT AVAILABLE,24
124,RICHPORT TECHNICAL COLLEGE,CARRETA 189 KM 6.0  RINCON INDUSTRIAL PARK,GURABO,PR,OTHER TECHNICAL AND TRADE SCHOOLS,778,(787) 712-4851,GURABO,72063,PRI,www.richporttc.com,RTC,88
125,ITT TECHNICAL INSTITUTE-WESTMINSTER,"8620 WOLFF COURT, SUITE 100",WESTMINSTER,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",80031,NOT AVAILABLE,ADAMS,8001,USA,NOT AVAILABLE,NOT AVAILABLE,-999
126,MITCHELL COSMETOLOGY COLLEGE,"116 FIRST STREET SOUTH, SUITE 10",ALABASTER,AL,COSMETOLOGY AND BARBER SCHOOLS,35007,(205) 663-7126,SHELBY,1117,USA,mitchellcosmetologycollege.com,NOT AVAILABLE,18
127,PAUL MITCHELL THE SCHOOL-MONROE,"1015 18TH AVE, SUITE 212",MONROE,WI,COSMETOLOGY AND BARBER SCHOOLS,53566,(608) 329-7004,GREEN,55045,USA,paulmitchell.edu/monroe,NOT AVAILABLE,22
128,GWINNETT COLLEGE-MARIETTA CAMPUS,"1130 NORTHCHASE PKWY, STE 100",MARIETTA,GA,JUNIOR COLLEGES,30068,(770) 859-9779,COBB,13067,USA,www.gwinnettcollege.edu,GWINNETT COLLEGE,115
129,ITT TECHNICAL INSTITUTE-EDEN PRAIRIE,"7905 GOLDEN TRIANGLE DRIVE, SUITE 100",EDEN PRAIRIE,MN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",55344,NOT AVAILABLE,HENNEPIN,27053,USA,NOT AVAILABLE,NOT AVAILABLE,-999
130,VIRGINIA COLLEGE-MOBILE,"3725 AIRPORT BLVD, SUITE 165",MOBILE,AL,JUNIOR COLLEGES,36608,(251) 343-7227,MOBILE,1097,USA,www.vc.edu,NOT AVAILABLE,674
131,LE CORDON BLEU COLLEGE OF CULINARY ARTS-LAS VEGAS,2495 VILLAGE VIEW DRIVE,LAS VEGAS,NV,JUNIOR COLLEGES,89074,(224) 293-5530,CLARK,32003,USA,www.chefs.edu/las-vegas,LCB LAS VEGAS,-999
132,CAMBRIDGE INSTITUTE OF ALLIED HEALTH & TECHNOLOGY,"460 E. ALTAMONTE DRIVE, 3RD FLOOR",ALTAMONTE SPRINGS,FL,OTHER TECHNICAL AND TRADE SCHOOLS,32701,(407) 265-8383,SEMINOLE,12117,USA,www.cambridgehealth.edu/,NOT AVAILABLE,61
133,CARSTEN INSTITUTE OF COSMETOLOGY,290 MADISON AVENUE 5TH FLOOR,NEW YORK,NY,COSMETOLOGY AND BARBER SCHOOLS,10017,(212) 675-4884,NEW YORK,36061,USA,carsten.edu,NOT AVAILABLE,94
134,DAYMAR COLLEGE-BELLEVUE,119 FAIRFIELD AVENUE,BELLEVUE,KY,JUNIOR COLLEGES,41073,(859) 291-0800,CAMPBELL,21037,USA,www.daymarcollege.edu/,NOT AVAILABLE,6
135,THE COLLEGE OF HEALTH CARE PROFESSIONS-SOUTHWEST HOUSTON,7322 SOUTHWEST FREEWAY SUITE 100,HOUSTON,TX,OTHER TECHNICAL AND TRADE SCHOOLS,77074,(713) 470-2427,HARRIS,48201,USA,www.chcp.edu,NOT AVAILABLE,440
136,PALLADIUM TECHNICAL ACADEMY,10229 LOWER AZUSA RD.,TEMPLE CITY,CA,OTHER TECHNICAL AND TRADE SCHOOLS,91780,(626) 444-0880,LOS ANGELES,6037,USA,palladium.edu,NOT AVAILABLE,36
137,MIAMI REGIONAL UNIVERSITY,700 S ROYAL POINCIANA BLVD,MIAMI SPRINGS,FL,JUNIOR COLLEGES,33166,(305) 442-9223,MIAMI-DADE,12086,USA,https://www.mru.edu,NOT AVAILABLE,976
138,HEALING ARTS CENTER,"10073 MANCHESTER ROAD, SUITE 100",ST. LOUIS,MO,FINE ARTS SCHOOLS,63122,(314) 647-8080,ST. LOUIS,29189,USA,https://www.thehealingartscenter.com,NOT AVAILABLE,108
139,GEORGIA BEAUTY ACADEMY,785 SHUGART ROAD SUITE 1,DALTON,GA,COSMETOLOGY AND BARBER SCHOOLS,30721,(706) 278-9606 EXT 0,WHITFIELD,13313,USA,www.georgiabeautyacademy.com/,GBA,108
140,SOUTHERN CAREERS INSTITUTE-HARLINGEN,1122 MORGAN BOULEVARD,HARLINGEN,TX,OTHER TECHNICAL AND TRADE SCHOOLS,78550,(512) 437-7500,CAMERON,48061,USA,www.scitexas.edu,NOT AVAILABLE,411
141,TONI & GUY HAIRDRESSING ACADEMY-MODESTO,2425 MCHENRY AVE SUITE A,MODESTO,CA,COSMETOLOGY AND BARBER SCHOOLS,95350,(209) 521-1000,STANISLAUS,6099,USA,modesto.toniguy.edu/,NOT AVAILABLE,7
142,BAIS MEDRASH MAYAN HATORAH,101 MILTON STREET,LAKEWOOD,NJ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",8701,(732) 367-9900,OCEAN,34029,USA,www.baismedrashmayanhatorah.com,NOT AVAILABLE,53
143,AZUSA PACIFIC UNIVERSITY COLLEGE,"300 N LONE HILL AVE, STE 200",SAN DIMAS,CA,COMPUTER TRAINING,91773,(626) 624-4673,LOS ANGELES,6037,USA,www.apu.edu/university-college/,AZUSA PACIFIC'S UNIVERSITY COLLEGE,2339
144,NATIONAL PERSONAL TRAINING INSTITUTE OF COLUMBUS,"10516 SAWMILL ROAD, SUITE C",POWELL,OH,OTHER TECHNICAL AND TRADE SCHOOLS,43065,(614) 336-2664,DELAWARE,39041,USA,www.nptiohio.edu,NOT AVAILABLE,41
145,TRI-COMMUNITY ADULT EDUCATION,16209 EAST SAN BERNARDINO ROAD,COVINA,CA,JUNIOR COLLEGES,91722,(626) 974-4200,LOS ANGELES,6037,USA,www.tri-communityadulted.org,NOT AVAILABLE,286
146,RANDOLPH TECHNICAL CENTER,200 KENNEDY DRIVE,ELKINS,WV,OTHER TECHNICAL AND TRADE SCHOOLS,26241,(304) 636-9195,RANDOLPH,54083,USA,rtc.rand.k12.wv.us/,RTC,20
147,PIBERRY INSTITUTE,30356 OLD DIXIE HWY,HOMESTEAD,FL,OTHER TECHNICAL AND TRADE SCHOOLS,33033,(305) 245-2581,MIAMI-DADE,12086,USA,https://www.piberry.edu/,NOT AVAILABLE,43
148,WESTCLIFF UNIVERSITY,4199 CAMPUS DRIVE #650,IRVINE,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92612,(888) 491-8686,ORANGE,6059,USA,www.westcliff.edu/,NOT AVAILABLE,1301
149,PLATT COLLEGE-ANAHEIM,1551 SOUTH DOUGLASS ROAD,ANAHEIM,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92806,(714) 333-9606,ORANGE,6059,USA,www.plattcollege.edu,NOT AVAILABLE,240
150,ROCKY VISTA UNIVERSITY - SOUTHERN UTAH,255 EAST CENTER STREET,IVINS,UT,JUNIOR COLLEGES,84738,NOT AVAILABLE,WASHINGTON,49053,USA,NOT AVAILABLE,NOT AVAILABLE,-999
151,SHARP EDGEZ BARBER INSTITUTE - BUFFALO,2844 DELAWARE AVENUE,BUFFALO,NY,COSMETOLOGY AND BARBER SCHOOLS,14217,NOT AVAILABLE,ERIE,36029,USA,NOT AVAILABLE,NOT AVAILABLE,-999
152,DESIGNER BARBER & STYLIST SCHOOL -,7321 WEST SUNSET AVENUE,SPRINGDALE,AR,COSMETOLOGY AND BARBER SCHOOLS,72762,NOT AVAILABLE,WASHINGTON,5143,USA,NOT AVAILABLE,NOT AVAILABLE,-999
153,BULL CITY DURHAM BEAUTY AND BARBER COLLEGE,1401 MOREHEAD AVENUE,DURHAM,NC,COSMETOLOGY AND BARBER SCHOOLS,27707,(984) 439-2400,DURHAM,37063,USA,www.bullcitybarbercollege.com,BULL CITY DURHAM BEAUTY AND BARBER COLLEGE |BULL CITY BARBER COLLEGE,6
154,BROADVIEW UNIVERSITY - GLOBE UNIVERSITY - MADISON,4901 EASTPARK BOULEVARD,MADISON,WI,COSMETOLOGY AND BARBER SCHOOLS,53718,NOT AVAILABLE,DANE,55025,USA,NOT AVAILABLE,NOT AVAILABLE,-999
155,BROADVIEW UNIVERSITY - GLOBE UNIVERSITY - WAUSAU,1480 COUNTY ROAD XX,ROTHSCHILD,WI,COSMETOLOGY AND BARBER SCHOOLS,54474,NOT AVAILABLE,MARATHON,55073,USA,NOT AVAILABLE,NOT AVAILABLE,-999
156,BROADVIEW UNIVERSITY - GLOBE UNIVERSITY - APPLETON,5045 WEST GRANDE MARKET DRIVE,GRAND CHUTE,WI,COSMETOLOGY AND BARBER SCHOOLS,54913,NOT AVAILABLE,OUTAGAMIE,55087,USA,NOT AVAILABLE,NOT AVAILABLE,-999
157,BEAUX CHEVEUX ACADEMY OF COSMETOLOGY,60 SOUTH MAIN B001,BRIGHAM CITY,UT,COSMETOLOGY AND BARBER SCHOOLS,84302,(435) 723-7899,BOX ELDER,49003,USA,beauxcheveuxacademy.com,NOT AVAILABLE,-999
158,OLYMPIAN ACADEMY OF COSMETOLOGY - INTERNATIONAL ACADEMY OF HAIR DESIGN,7611 WEST THOMAS ROAD SPC F001-F004,"PHOENIX,",AZ,COSMETOLOGY AND BARBER SCHOOLS,85033,NOT AVAILABLE,MARICOPA,4013,USA,NOT AVAILABLE,NOT AVAILABLE,-999
159,JOHNNY MATTHEW'S HAIRDRESSING TRAINING SCHOOL,255 LIBERTY ST NE,SALEM,OR,COSMETOLOGY AND BARBER SCHOOLS,97301,(503) 902-5288,MARION,41047,USA,www.johnnymatthews.com,NOT AVAILABLE,57
160,ARIZONA STATE UNIVERSITY AT TUCSON,340 NORTH COMMERCE PARK LOOP,TUCSON,AZ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",85745,NOT AVAILABLE,PIMA,4019,USA,NOT AVAILABLE,NOT AVAILABLE,-999
161,ITT TECHNICAL INSTITUTE-KNOXVILLE,9123 EXECUTIVE PARK DRIVE,KNOXVILLE,TN,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",37923,NOT AVAILABLE,KNOX,47093,USA,NOT AVAILABLE,NOT AVAILABLE,-999
162,EVEREST UNIVERSITY-MELBOURNE,2190 SARNO ROAD,MELBOURNE,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",32935,NOT AVAILABLE,BREVARD,12009,USA,NOT AVAILABLE,NOT AVAILABLE,-999
163,GOLF ACADEMY OF AMERICA-MYRTLE BEACH,3268 WACCAMAW BLVD.,MYRTLE BEACH,SC,JUNIOR COLLEGES,29579,(800) 342-7342,HORRY,45051,USA,www.golfacademy.edu,NOT AVAILABLE,160
164,MASSAGE THERAPY TRAINING INSTITUTE,303 N ALAMEDA BLVD,LAS CRUCES,NM,OTHER TECHNICAL AND TRADE SCHOOLS,88005,(575) 523-6811,DOÑA ANA,35013,USA,www.mtti.org,MTTI,-999
165,BLUE CLIFF COLLEGE-FAYETTEVILLE,3448 N. COLLEGE,FAYETTEVILLE,AR,OTHER TECHNICAL AND TRADE SCHOOLS,72703,(479) 442-2914,WASHINGTON,5143,USA,bluecliffcollege.com,NOT AVAILABLE,228
166,ITT TECHNICAL INSTITUTE-COLUMBIA,"1628 BROWNING ROAD, SUITE 180",COLUMBIA,SC,JUNIOR COLLEGES,29210,NOT AVAILABLE,RICHLAND,45079,USA,NOT AVAILABLE,NOT AVAILABLE,-999
167,ITT TECHNICAL INSTITUTE-ATLANTA,"485 OAK PLACE, SUITE 800",ATLANTA,GA,JUNIOR COLLEGES,30349,NOT AVAILABLE,CLAYTON,13063,USA,NOT AVAILABLE,NOT AVAILABLE,-999
168,DIGITAL MEDIA ARTS COLLEGE,5400 BROKEN SOUND BLVD NW #100,BOCA RATON,FL,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",33487,(561) 391-1148,PALM BEACH,12099,USA,www.dmac.edu,NOT AVAILABLE,-999
169,MONROE 2 ORLEANS BOCES-CENTER FOR WORKFORCE DEVELOPMENT,"ROCHESTER TECH PARK, BUILDING 9, 160 WALLACE WAY",ROCHESTER,NY,OTHER TECHNICAL AND TRADE SCHOOLS,14624,(585) 349-9100,MONROE,36055,USA,www.monroe2cwd.edu,BOCES 2 CWD,74
170,MILAN INSTITUTE OF COSMETOLOGY-RENO,4020 KIETZKE LANE,RENO,NV,COSMETOLOGY AND BARBER SCHOOLS,89502,(775) 784-7171,WASHOE,32031,USA,www.milaninstitute.edu,NOT AVAILABLE,154
171,ASPEN UNIVERSITY,"1660 SOUTH ALBION STREET, SUITE 525",DENVER,CO,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",80222,(303) 333-4224,DENVER,8031,USA,www.aspen.edu,NOT AVAILABLE,4973
172,ORION COLLEGE,3500 NORTH STATE RD 7,LAUDERDALE LAKES,FL,JUNIOR COLLEGES,33319,(888) 331-9957,BROWARD,12011,USA,https://orioncollege.org/,NOT AVAILABLE,136
173,SKIN SCIENCE INSTITUTE,421 S 400 E,SALT LAKE CITY,UT,COSMETOLOGY AND BARBER SCHOOLS,84111,(801) 983-0619,SALT LAKE,49035,USA,skinscienceinstitute.com,NOT AVAILABLE,143
174,SOUTHERN CALIFORNIA UNIVERSITY SOMA,3460 WILSHIRE BLVD. 5TH FLOOR,LOS ANGELES,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",90010,(213) 413-9500,LOS ANGELES,6037,USA,www.scusoma.edu,NOT AVAILABLE,32
175,BERGIN UNIVERSITY OF CANINE STUDIES,5860 LABATH AVENUE,ROHNERT PARK,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",94928,(707) 545-3647,SONOMA,6097,USA,www.berginu.edu,NOT AVAILABLE,80
176,AVEDA INSTITUTE-BOISE,10222 W FAIRVIEW AVE,BOISE,ID,COSMETOLOGY AND BARBER SCHOOLS,83704,(208) 345-6164,ADA,16001,USA,www.avedaidaho.com,NOT AVAILABLE,62
177,UNIVERSITY OF CONNECTICUT-HARTFORD CAMPUS,10 PROSPECT STREET,HARTFORD,CT,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",6103,(959) 200-3500,HARTFORD,9003,USA,hartford.uconn.edu/,NOT AVAILABLE,1279
178,DEVRY UNIVERSITY-OKLAHOMA,"4013 NW EXPRESSWAY ST., STE. 100",OKLAHOMA CITY,OK,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",73116,(405) 767-9516,OKLAHOMA,40109,USA,https://www.devry.edu,DEVRY UNIVERSITY-OKLAHOMA CITY,7
179,YESHIVA KOLLEL TIFERETH ELIZER,1227 47TH STREET,BROOKLYN,NY,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",11219,(929) 222-8090,KINGS,36047,USA,www.yeshivakolleltiferethelizer.com,NOT AVAILABLE,78
180,AMERICAN INSTITUTE OF ALTERNATIVE MEDICINE,"223 RT. 18, SUITE 205",EAST BRUNSWICK,NJ,OTHER TECHNICAL AND TRADE SCHOOLS,8816,(732) 651-6060,MIDDLESEX,34023,USA,massageschoolnewjersey.com,NOT AVAILABLE,37
181,SOUTHERN STATES UNIVERSITY,"123 CAMINO DE LA REINA,100 EAST",SAN DIEGO,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",92108,(619) 298-1829,SAN DIEGO,6073,USA,www.ssu.edu/,NOT AVAILABLE,137
182,VIRGINIA UNIVERSITY OF ORIENTAL MEDICINE,9401 MATHY DRIVE,FAIRFAX,VA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",22031,(703) 323-5690,FAIRFAX,51059,USA,vuom.edu,NOT AVAILABLE,187
183,NASHVILLE FILM INSTITUTE,191 POLK AVENUE,NASHVILLE,TN,COSMETOLOGY AND BARBER SCHOOLS,37210,(877) 627-3456,DAVIDSON,47037,USA,nfi.edu,NOT AVAILABLE,57
184,CUTTING EDGE ACADEMY,45 SUNSET STRIP AND ROUTE 10 EAST,SUCCASUNNA,NJ,COSMETOLOGY AND BARBER SCHOOLS,7876,(862) 251-7290,MORRIS,34027,USA,www.cuttingedgeacademynj.com,NOT AVAILABLE,69
185,YESHIVA BAIS AHARON,905 PARK AVENUE,LAKEWOOD,NJ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",8701,(732) 364-7604,OCEAN,34029,USA,www.yeshivabaisaharon.com,NOT AVAILABLE,44
186,MY BEAUTY & BARBER COLLEGE,6100 MACK ROAD,SACRAMENTO,CA,COSMETOLOGY AND BARBER SCHOOLS,95823,(916) 395-1972,SACRAMENTO,6067,USA,mybeautycollege.com/,NOT AVAILABLE,18
187,GEORGIE INTERNATIONAL BEAUTY INSTITUTE,69 GRAHAM ROAD,CUYAHOGA FALLS,OH,COSMETOLOGY AND BARBER SCHOOLS,44223,(877) 275-1003,SUMMIT,39153,USA,www.georgieinternationalbeauty.com,NOT AVAILABLE,37
188,HARMONY HEALTH CARE INSTITUTE,"10 AL PAUL LANE, SUITE 204",MERRIMACK,NH,COSMETOLOGY AND BARBER SCHOOLS,3054,(603) 886-0822,HILLSBOROUGH,33011,USA,www.harmony-health.org,NOT AVAILABLE,74
189,AMERICAN BEAUTY SCHOOLS,8100 SOUTHWEST 8TH STREET,MIAMI,FL,COSMETOLOGY AND BARBER SCHOOLS,33144,(786) 558-9608,MIAMI-DADE,12086,USA,www.americanbeautyschools.com,NOT AVAILABLE,33
190,HOGAN INSTITUTE OF COSMETOLOGY AND ESTHETICS,495 INDIAN TRAIL ROAD NORTHWEST,LILBURN,GA,COSMETOLOGY AND BARBER SCHOOLS,30047,(866) 583-7331 EXT 3,GWINNETT,13135,USA,www.hoganinstituteofcosmetologyandesthetics.com,NOT AVAILABLE,16
191,J'S BARBER COLLEGE,1207 CENTER STREET,NEW IBERIA,LA,COSMETOLOGY AND BARBER SCHOOLS,70560,(337) 364-2552,IBERIA,22045,USA,jsbarbercollege.com,NOT AVAILABLE,34
192,KOR BEAUTY ACADEMY,16610 NORTH 75TH AVENUE,PEORIA,AZ,COSMETOLOGY AND BARBER SCHOOLS,85382,(623) 878-7100,MARICOPA,4013,USA,korbeautyacademy.org,NOT AVAILABLE,8
193,EDUMED PARTNERS,907 RIVERGATE PKY.,GOODLETTSVILLE,TN,COSMETOLOGY AND BARBER SCHOOLS,37072,(615) 528-5444 EXT 3,DAVIDSON,47037,USA,www.edumed-partners.com,NOT AVAILABLE,31
194,MASSAGE INSTITUTE OF MEMPHIS,"2076 UNION AVENUE, SUITE 202",MEMPHIS,TN,COSMETOLOGY AND BARBER SCHOOLS,38104,(901) 726-4665,SHELBY,47157,USA,www.themassageinstitute.com,NOT AVAILABLE,25
195,METRO DETROIT BARBER COLLEGE,7443 W. MCNICHOLS,DETROIT,MI,COSMETOLOGY AND BARBER SCHOOLS,48221,(313) 342-4400,WAYNE,26163,USA,NOT AVAILABLE,MDBCOLLEGE,-999
196,CAREER QUEST LEARNING CENTER-MT. PLEASANT,2116 SOUTH MISSION STREET,MOUNT PLEASANT,MI,COSMETOLOGY AND BARBER SCHOOLS,48858,(989) 817-4431,ISABELLA,26073,USA,www.careerquest.edu,NOT AVAILABLE,82
197,TRICOCI UNIVERSITY OF BEAUTY CULTURE-JANESVILLE,2310 W. COURT STREET,JANESVILLE,WI,COSMETOLOGY AND BARBER SCHOOLS,53548,(630) 528-3330,ROCK,55105,USA,www.tricociuniversity.edu,JAN,21
198,UNLIMITED COSMETOLOGY SCHOOL,102 BROAD STREET,HATTIESBURG,MS,COSMETOLOGY AND BARBER SCHOOLS,39401,(601) 336-7256,FORREST,28035,USA,www.unlmtdcosmetologyschoolms.com/,NOT AVAILABLE,16
199,UNIVERSITY OF WISCONSIN-MILWAUKEE FLEX,2200 E KENWOOD BLVD,MILWAUKEE,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",53201,(877) 895-3276,MILWAUKEE,55079,USA,https://flex.wisconsin.edu,NOT AVAILABLE,501
200,UNIVERSITY OF WISCONSIN COLLEGES FLEX,780 REGENT ST,MADISON,WI,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",53708,(877) 895-3276,DANE,55025,USA,https://flex.wisconsin.edu,NOT AVAILABLE,54
201,UNIVERSAL TECHNICAL INSTITUTE OF ARIZONA INC-MOTORCYCLE MECHANICS INSTITUTE DIVISION,2844 W DEER VALLEY RD,PHOENIX,AZ,OTHER TECHNICAL AND TRADE SCHOOLS,85027,(877) 201-2666,MARICOPA,4013,USA,www.uti.edu/,"UNIVERSAL TECHNICAL INSTITUTE OF PHOENIX, INC. |UNIVERSAL TECHNICAL INSTITUTE  |MMI-PHOENIX |MMI-AZ",1020
202,OTTAWA UNIVERSITY-PHOENIX,9414 NORTH 25TH AVENUE,PHOENIX,AZ,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",85021,(602) 371-1188,MARICOPA,4013,USA,www.ottawa.edu,OU - PHOENIX |OU - ARIZONA |OUAZ,714
203,CLOVIS ADULT EDUCATION,1452 DAVID E COOK WAY,CLOVIS,CA,OTHER TECHNICAL AND TRADE SCHOOLS,93611,(559) 327-2800,FRESNO,6019,USA,www.clovisadulteducation.com,NOT AVAILABLE,792
204,FIELDING GRADUATE UNIVERSITY,2020 DE LA VINA ST,SANTA BARBARA,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",93105,(805) 687-1099,SANTA BARBARA,6083,USA,www.fielding.edu,FIELDING|FIELDING INSTITUTE|FIELDING GRADUATE INSTITUTE,957
205,SOUTHERN CALIFORNIA UNIVERSITY OF HEALTH SCIENCES,16200 EAST AMBER VALLEY DRIVE,WHITTIER,CA,"COLLEGES, UNIVERSITIES, AND PROFESSIONAL SCHOOLS",90604,(562) 947-8755,LOS ANGELES,6037,USA,www.scuhs.edu,LOS ANGELES COLLEGE OF CHIROPRACTIC |COLLEGE OF EASTERN MEDICINE,1096
206,BROWN MACKIE COLLEGE-MERRILLVILLE,"1000 E 80TH PLACE, SUITE 2055",MERRILLVILLE,IN,JUNIOR COLLEGES,46410,(219) 769-3321,LAKE,18089,USA,www.brownmackie.edu/locations/merrillville,NOT AVAILABLE,123
207,ITT TECHNICAL INSTITUTE-TARENTUM,100 PITTSBURGH MILLS CIRCLE,TARENTUM,PA,JUNIOR COLLEGES,15084,NOT AVAILABLE,ALLEGHENY,42003,USA,NOT AVAILABLE,NOT AVAILABLE,-999
